name,iata_code,icao_code
Aerovias DAP,V5,DAP
Aerovias Del Golfo,null,GFO
Aerovilla,null,VVG
AeroVis Airlines,null,VIZ
Aerovista,null,VTZ
Aerovitro,null,VRO
Aerovuelox,null,VUO
aeroways,null,MCK
Aerowest,null,AWH
Aerowin,null,OWI
Aeroworld Pakistan,null,AWP
Aeroxtra,null,RXT
Aerro Direkt,4D*,DIR
AF-Aviation,null,AFF
AF-Air International,null,FAN
Air Afghanistan International,null,AFH
Africa Charter Airlines,null,FSK
Africa Chartered Services,null,AFY
Air Africa International,null,GEM
Africa Airlines,null,GIZ
Africa Air Links,null,AFK
Africa's Connection STP,null,ACH
Africa World Airlines Limited,AW,AFW
Africair Service,null,FFB
African Airlines International,null,AIK
African Alliance Airlines,null,JAY
African Express Airways,XU,AXK
African Medical and Research Foundation,null,FDS
Afrijet,J7,ABS
Afrik Airways,null,CIW
Afriqiyah Airways,8U,AAW
Afrique Cargo Service Senegal,null,NFS
Afrique Chart'Air,null,FRQ
Afro International Ent.,null,AOR
AFTN Communications Centre,null,YFA
AG.raum,null,FAR
Agence Nationale Des Aerodromes Et de La Meteorologie (ANAM),null,ZZM
Agricolair,null,AGD
Agrocentr-Avia,null,GSV
Agrolet-Mci,null,AGZ
Agulhas 360,null,STE
AHK Air Hong Kong,LD,AHK
AHS Air International,null,AHS
Aim Air,null,AAM
Aim Aviation,null,AIF
Aims Community College,null,RTY
Air Company,null,CPY
Air1Air,null,INA
Air26,null,DCD
AIR4 Passenger Service Systems,D1,null
Airailes,null,EOL
AirAsia Cambodia,KT,CAM
AirAsia Philippines,Z2,APG
AirAsia X,D7,XAX
AirBahn,null,ARB
airBaltic,BT,BTI
Airbiz Aviation Services Worldwide,null,BZR
Airblue,PA,ABQ
Airborne Imaging,null,ARZ
Airborne LiDAR Mapping,null,MAB
AirBridge Cargo,RU,ABW
Airbrock Management and Charter,null,BKE
Airbus Beluga Transport,null,BCO
Airbus Beluga Transport,null,null
Airbus Canada,null,ABK
Airbus France,null,RBU
Airbus Helicopters UK,null,FEN
Airbus Industrie,null,AIB
Airbus Transport International,4Y*,BGA
Aircalin,SB,ACI
Airclub Aviator,null,RCV
Airco Aircraft Charters,null,ARQ
Aircompany Barcol,null,BKL
Aircompany Grodno,null,GRX
Aircompany Rosavia,null,URA
Aircraft Accident Authority,null,YLY
Aircraft In Flight,null,ZZZ
Aircraft Machine Works Chad (AMW),null,TWK
Aircraft Management Group,null,RVJ
Aircraft Performance Group,null,XLB
Aircraft Sales and Services (Pvt) Ltd,null,ACS
Aircraft Support and Services,null,NFF
Aircraft Systems South Africa,null,ATH
Aircraft VIP Services,null,VPX
Aircrew Check and Training Australia,null,AIY
Aircruising Australia,null,AIX
Airdeal,null,ADU
AirDialog,null,HPN
Aire Aviation,null,ION
Airecon,null,WLI
Airenka,null,EAJ
Aireon Canada,null,AEN
Airest,null,AEG
AirExplore,ED,AXE
Airfast Indonesia,null,AFE
Airflite,null,RDX
Airfutures Airlines,null,AFD
AirGO Private Airline,null,XGO
Airhub Airlines,RE,GJM
AirInter1,null,HRV
Airjet Exploracao Aerea de Carga,null,MBC
Airjetsul Private Jets,null,AJU
Airkenya Express,P2,XAK
Airlec Air Espace,null,ARL
Airlift International,null,AIR
Airlift Alaska,K2,null
Airlift,null,ALI
Airlink,4Z,LNK
Airlink,null,JAR
Airlink Solutions,null,LKS
Airman,null,AYM
airmaster,null,null
Airmax,null,MMX
Airmax Airlines,null,TNK
Airmax,X8,MMX
AirMed,null,MEJ
International Airnavigation Service East,null,VST
AirNet II,null,USC
Airnimbus,null,NIM
Airnor,null,ENW
Airnorth Regional,TL*,ANO
Airnorth,TL*,ANO
Airpac Airlines,null,APC
Airpilot Escuela De Vuelo,null,FSM
airpink,null,PNK
Airplanes Holdings,null,AHH
Airquest Aviation,null,RQT
"Airservices Australia, Flight Inspection Unit",null,ADA
airseven,null,null
AirSF Flight Service,null,XSN
Airshop,FF*,null
"Airshows America ""The Patriots""",null,PTJ
AirSial,PF,SIF
AirSmart,null,XSM
Airspeed Charter,null,ACC
AirSprint,null,ASP
AirSprint US,null,FCJ
Airstar,null,OLV
Airstream,null,AQS
AirSWIFT,T6,ATX
AirTanker,9L,TOW
Airteam Charter,null,TEW
Airtraffic,null,ATY
Airventure,null,RVE
Airwave Transport,null,AWV
Airwaver Airlink,null,WLA
Airway Express,null,AEX
Airways International,null,AWB
AIRWAZE,null,WZE
AirWest,null,AWZ
Airwing AS,null,NWG
Airwings,null,WGS
Airwork New Zealand,null,AWK
Airworld,null,SPZ
AIRZENA,LV,DTG
Aitheras Aviation Group,null,PXG
AJA - Al Jaber Aviation,null,LJB
Ajet,VF,TKJ
Ajwaa Airlines,null,AJY
AK Navigator,null,AKZ
AK-Air,null,NTX
Akasa Air,QP,AKJ
Akhmos-1,null,AKS
Akku Air,null,KKU
Aklak Air,null,AKK
Aktjubavia,null,AKB
Al Ahram Aviation,null,LHR
Al-Atheer Aviation,null,ATE
Al-Dawood Air,null,LIE
Al-Donas Airlines,null,LDN
Al-Haya Aviation,null,HYA
Al-Rafedain Falcon Air Cargo,null,RFA
Al Rais Cargo,null,HJT
Al Rida Airways,null,LRW
Alabama Department of Public Safety,null,DPS
Alada Empresa de Transportes Aereos,null,RAD
Alajnihah Air Transport,null,ANH
Alamia Air,null,LML
Alamo Aviacion,null,AVD
Alanna,null,ALQ
Alante Air Charter,null,SVL
Alas del Sur,null,ASC
Alaska Airlines,AS,ASA
Alaska Central Express,KO*,AER
Alaska Island Air,null,AAK
Alaska Seaplanes,J5,null
Alaska Seaplanes,X4,null
Alaska Air Transit,JN,null
Alatau Airlines,null,BMV
Alba-Air,null,ABI
ALBA Servici Aerotrasporti SpA,null,AFQ
Alba Star.es,AP,LAV
Air Albania,ZB,ABN
Albanian Airways,null,LBN
Albatros Aircraft Corp,null,VLC
Albatros Airlines,G0,GAL
Albawings,2B,AWT
Alberta Government,null,GOA
Albertsons,null,IDD
Albinati Aeronautics,null,LUC
Albinati Aviation,null,ULC
Albisa,null,LBI
Alborz Air,null,ALR
Air Alderney,null,null
Air Alderney,null,PUF
Alerion Aviation,null,JPB
Alexandria Airlines,DQ,KHH
Alexjets San Marino,null,AXJ
Alfa Airlines,null,AAJ
Alfa Aerospace,null,LFP
Alfa Air,null,AFA
Alfa Air,null,ALM
Alfa KR,null,AKD
ALG Group LLC,null,SJG
Air Algerie,AH,DAH
Alhodhod Airline,null,HOD
Alidaunia,null,LID
Alii Palau Airlines,null,null
Aliparma,null,PAJ
Aliscargo Airlines,CP*,LSI
Aliserio,null,TJD
Alitalia Cityliner,CT,CYL
Air Alize,null,RLZ
Alkan Air,null,AKN
Alkan Air,null,ALN
All Nippon Airways,NH,ANA
Allegiant Air,G4,AAY
Allen Corporation of America,null,LLN
Alliance Air,9I,null
Alliance Air,CD*,LLR
Alliance Air Charter,null,TTX
Alliance Executive Jets,null,ALE
Alliance Express,null,RWB
Alliance Airlines,QQ,UTY
Allied Air,4W*,AJK
Allied Command Europe (Mobile Force),null,ALF
Allpoints Jet,null,ALP
Almajara Aviation,null,MJA
Almasria Universal Airlines,UJ,LMU
Almron Aviation,null,HPO
Aloha Air Cargo,KH,AAH
Alok Air,null,LOK
Alpavia,AL,APP
Alpha Aviation,null,AAO
